metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.638179193313583,4.641972346233467,0.003793152919883802,-0.003472222222222222,trivial,179.0,0.2111707329750061,1.0,NS
VAR,CT,24,70.50553488421379,67.89284453065733,-2.6126903535564594,-0.5520833333333334,large,0.0,1.0,1.0,NS
AG,CT,24,9.616324628061891,9.473328043391986,-0.1429965846699055,-0.10069444444444445,trivial,0.0,1.0,1.0,NS
SF,CT,24,40.31732801271776,39.76523479297719,-0.5520932197405699,-0.10069444444444445,trivial,0.0,1.0,1.0,NS
EI,CT,24,96.01678004761503,94.34483265665902,-1.6719473909560065,-0.12152777777777778,trivial,0.0,1.0,1.0,NS
MI,CT,24,53.676019032796226,51.52567609151205,-2.1503429412841797,-0.2673611111111111,small,0.0,1.0,1.0,NS
NCIE,CT,24,0.8072961558767352,0.8076038627606216,0.0003077068838863717,0.22569444444444445,small,284.0,1.0073184967041016e-05,0.00022161006927490234,SIG
MI_mutual,CT,24,2.1541299738168544,2.2054026170921674,0.051272643275313,0.19444444444444445,small,278.0,3.1948089599609375e-05,0.0006389617919921875,SIG
NABF,CT,24,0.0323153793694205,0.029629516893506982,-0.0026858624759135176,0.3020833333333333,small,296.0,4.172325134277344e-07,1.0013580322265625e-05,SIG
FMI,CT,24,0.6732552032176401,0.6820164203983324,0.008761217180692338,0.1736111111111111,small,299.0,1.1920928955078125e-07,2.9802322387695312e-06,SIG
CE,CT,24,1.5406950603516376,1.5665315912624436,0.025836530910805955,-0.08333333333333333,trivial,76.0,0.9842591881752014,1.0,NS
SSIM,CT,24,1.4434062128957887,1.4416865545439486,-0.001719658351840181,0.003472222222222222,trivial,138.0,0.6371296048164368,1.0,NS
PSNR,CT,24,14.397297737770316,14.49598244801362,0.09868471024330461,0.1388888888888889,trivial,257.0,0.0006998777389526367,0.012597799301147461,SIG
RMSE,CT,24,49.00550184484638,48.45159072404673,-0.553911120799647,0.15625,small,296.0,4.172325134277344e-07,1.0013580322265625e-05,SIG
QG,CT,24,0.6182603271079632,0.6196323002324838,0.0013719731245206424,0.059027777777777776,trivial,187.0,0.15144962072372437,1.0,NS
QM,CT,24,0.004627594120963304,0.005012169092455772,0.0003845749714924676,0.11458333333333333,trivial,257.0,0.0006998777389526367,0.012597799301147461,SIG
QC,CT,24,0.47729696395527627,0.4626533872475352,-0.01464357670774108,-0.18055555555555555,small,1.0,0.9999999403953552,1.0,NS
QS,CT,24,0.3952547055629241,0.3776611450874359,-0.017593560475488157,-0.21875,small,20.0,0.999981701374054,1.0,NS
QCB,CT,24,0.8113260505610107,0.7844200720927947,-0.026905978468215963,-0.2569444444444444,small,9.0,0.9999985098838806,1.0,NS
QCV,CT,24,758.8742454949969,751.9198960148045,-6.954349480192377,0.0625,trivial,205.0,0.060420095920562744,0.9063014388084412,NS
QY,CT,24,0.9146761158251993,0.9142582284081756,-0.0004178874170236435,-0.010416666666666666,trivial,131.0,0.7080969214439392,1.0,NS
QMI,CT,24,0.7829708628136118,0.799415639063145,0.01644477624953311,0.16319444444444445,small,274.0,6.35385513305664e-05,0.0012072324752807617,SIG
QSF,CT,24,0.048792024291427434,0.037742115898256115,-0.011049908393171319,-0.3298611111111111,small,28.0,0.9999251961708069,1.0,NS
QNCIE,CT,24,0.8072961558767352,0.8076038627606215,0.00030770688388626066,0.22569444444444445,small,284.0,1.0073184967041016e-05,0.00022161006927490234,SIG
QTE,CT,24,-8.54468653147251,-8.478170847366878,0.06651568410563158,0.03819444444444445,trivial,221.0,0.021244585514068604,0.33991336822509766,MARGINAL
EN,PET,24,5.5110763507938,5.485453264955349,-0.02562308583845141,-0.0625,trivial,0.0,1.0,1.0,NS
VAR,PET,24,77.51346692219121,76.71133322180678,-0.8021337003844309,-0.1423611111111111,trivial,1.0,0.9999999403953552,1.0,NS
AG,PET,24,11.27742048898664,11.221854210205407,-0.055566278781233436,-0.059027777777777776,trivial,0.0,1.0,1.0,NS
SF,PET,24,34.47140044686623,34.445676564613414,-0.025723882252812302,-0.017361111111111112,trivial,74.0,0.9865361452102661,1.0,NS
EI,PET,24,114.69940988173774,114.09823186269345,-0.6011780190442835,-0.07291666666666667,trivial,0.0,1.0,1.0,NS
MI,PET,24,68.33060010274251,67.35919253031413,-0.9714075724283759,-0.10069444444444445,trivial,0.0,1.0,1.0,NS
NCIE,PET,24,0.8117213723721894,0.8113789893826833,-0.00034238298950617363,-0.1527777777777778,small,0.0,1.0,1.0,NS
MI_mutual,PET,24,2.653132647066471,2.617505800912484,-0.035626846153987035,-0.14583333333333334,trivial,0.0,1.0,1.0,NS
NABF,PET,24,0.015342937496613097,0.014293671718209172,-0.0010492657784039253,0.1909722222222222,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,PET,24,0.6372248144073854,0.635844760016156,-0.0013800543912294572,-0.04513888888888889,trivial,19.0,0.9999849200248718,1.0,NS
CE,PET,24,1.1542648469858443,1.1896465189540626,0.03538167196821829,-0.1423611111111111,trivial,1.0,0.9999999403953552,1.0,NS
SSIM,PET,24,1.3234846388289265,1.318787345783327,-0.0046972930455995154,-0.08333333333333333,trivial,0.0,1.0,1.0,NS
PSNR,PET,24,17.533084310614445,17.05793555861808,-0.47514875199636464,-0.4340277777777778,medium,0.0,1.0,1.0,NS
RMSE,PET,24,49.689900109468375,50.51410955832183,0.8242094488534519,-0.1527777777777778,small,0.0,1.0,1.0,NS
QG,PET,24,0.7638182755455784,0.7608259406276874,-0.002992334917890971,-0.10416666666666667,trivial,0.0,1.0,1.0,NS
QM,PET,24,0.12295579980032334,0.11146974010138884,-0.0114860596989345,-0.2673611111111111,small,0.0,1.0,1.0,NS
QC,PET,24,0.6576610706289047,0.6514095664352285,-0.0062515041936761495,-0.1284722222222222,trivial,0.0,1.0,1.0,NS
QS,PET,24,0.5459190898291711,0.5417396830582025,-0.004179406770968619,-0.06944444444444445,trivial,0.0,1.0,1.0,NS
QCB,PET,24,0.8961937054143884,0.8961684607844186,-2.5244629969778387e-05,-0.027777777777777776,trivial,92.0,0.9524520039558411,1.0,NS
QCV,PET,24,82.73074705564288,83.79904556313956,1.068298507496678,-0.06944444444444445,trivial,0.0,1.0,1.0,NS
QY,PET,24,0.9817079745017168,0.9794124017408325,-0.0022955727608842125,-0.3055555555555556,small,0.0,1.0,1.0,NS
QMI,PET,24,0.802025031608844,0.7942457502072698,-0.007779281401574134,-0.1423611111111111,trivial,0.0,1.0,1.0,NS
QSF,PET,24,0.05460496534826605,0.05571537899808556,0.0011104136498195083,0.0625,trivial,259.0,0.0005463361740112305,0.013112068176269531,SIG
QNCIE,PET,24,0.8117213723721894,0.8113789893826833,-0.00034238298950617363,-0.1527777777777778,small,0.0,1.0,1.0,NS
