metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686797749583205,4.641972346233467,-0.04482540334973795,-0.12152777777777778,trivial,33.0,0.9998388290405273,1.0,NS
VAR,CT,24,80.77078646485059,67.89284453065733,-12.87794193419326,-0.96875,large,0.0,1.0,1.0,NS
AG,CT,24,8.755430774745948,9.473328043391986,0.7178972686460376,0.3229166666666667,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,CT,24,36.53799267093689,39.76523479297719,3.227242122040302,0.4826388888888889,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,CT,24,88.0515270392708,94.34483265665902,6.293305617388228,0.2986111111111111,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,CT,24,65.71292114257812,51.52567609151205,-14.187245051066078,-0.9375,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071417624089247,0.8076038627606216,0.00046210035169691466,0.2986111111111111,small,277.0,3.814697265625e-05,0.000762939453125,SIG
MI_mutual,CT,24,2.14508450507375,2.2054026170921674,0.0603181120184173,0.2743055555555556,small,247.0,0.00216752290725708,0.03684788942337036,SIG
NABF,CT,24,0.019666141240353974,0.029629516893506982,0.009963375653153007,-0.8090277777777778,large,0.0,1.0,1.0,NS
FMI,CT,24,0.6710997311464278,0.6820164203983324,0.010916689251904588,0.2326388888888889,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
CE,CT,24,1.5800952339050498,1.5665315912624436,-0.013563642642606233,0.034722222222222224,trivial,169.0,0.30165570974349976,1.0,NS
SSIM,CT,24,1.4798800462702637,1.4416865545439486,-0.03819349172631514,-0.4375,medium,0.0,1.0,1.0,NS
PSNR,CT,24,14.405257576702025,14.49598244801362,0.09072487131159512,0.1388888888888889,trivial,204.0,0.0640135407447815,1.0,NS
RMSE,CT,24,50.15341487566516,48.45159072404673,-1.7018241516184318,0.3506944444444444,medium,298.0,1.7881393432617188e-07,3.7550926208496094e-06,SIG
QG,CT,24,0.6140704301416217,0.6196323002324838,0.005561870090862175,0.14583333333333334,trivial,186.0,0.1582561731338501,1.0,NS
QM,CT,24,0.008811166075949603,0.005012169092455772,-0.0037989969834938313,-0.7013888888888888,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712679216852795,0.4626533872475352,-0.008614534437744292,-0.15625,small,56.0,0.9973347783088684,1.0,NS
QS,CT,24,0.40035061537245314,0.3776611450874359,-0.02268947028501722,-0.3055555555555556,small,1.0,0.9999999403953552,1.0,NS
QCB,CT,24,0.7965497021856812,0.7844200720927947,-0.012129630092886479,-0.125,trivial,34.0,0.9998136162757874,1.0,NS
QCV,CT,24,578.465495683921,751.9198960148045,173.45440033088357,-0.8194444444444444,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258746160622987,0.9142582284081756,-0.011616387654123095,-0.2951388888888889,small,30.0,0.9998974204063416,1.0,NS
