metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686797749583205,4.638179193313583,-0.04861855626962175,-0.13541666666666666,trivial,19.0,0.9999849200248718,1.0,NS
VAR,CT,24,80.77078646485059,70.50553488421379,-10.2652515806368,-0.9166666666666666,large,0.0,1.0,1.0,NS
AG,CT,24,8.755430774745948,9.616324628061891,0.8608938533159431,0.3784722222222222,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,CT,24,36.53799267093689,40.31732801271776,3.7793353417808717,0.5277777777777778,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,CT,24,88.0515270392708,96.01678004761503,7.965253008344234,0.3611111111111111,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,CT,24,65.71292114257812,53.676019032796226,-12.036902109781899,-0.8715277777777778,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071417624089247,0.8072961558767352,0.00015439346781054297,0.13541666666666666,trivial,222.0,0.019740819931030273,0.3750755786895752,MARGINAL
MI_mutual,CT,24,2.14508450507375,2.1541299738168544,0.009045468743104301,0.13194444444444445,trivial,169.0,0.30165570974349976,1.0,NS
NABF,CT,24,0.019666141240353974,0.0323153793694205,0.012649238129066525,-0.8402777777777778,large,0.0,1.0,1.0,NS
FMI,CT,24,0.6710997311464278,0.6732552032176401,0.00215547207121225,0.059027777777777776,trivial,247.0,0.00216752290725708,0.0433504581451416,SIG
CE,CT,24,1.5800952339050498,1.5406950603516376,-0.03940017355341219,0.10416666666666667,trivial,197.0,0.09375065565109253,1.0,NS
SSIM,CT,24,1.4798800462702637,1.4434062128957887,-0.03647383337447496,-0.4270833333333333,medium,0.0,1.0,1.0,NS
PSNR,CT,24,14.405257576702025,14.397297737770316,-0.007959838931709484,0.003472222222222222,trivial,168.0,0.3115471601486206,1.0,NS
RMSE,CT,24,50.15341487566516,49.00550184484638,-1.1479130308187848,0.2534722222222222,small,291.0,1.9669532775878906e-06,4.3272972106933594e-05,SIG
QG,CT,24,0.6140704301416217,0.6182603271079632,0.004189896966341533,0.09375,trivial,169.0,0.30165570974349976,1.0,NS
QM,CT,24,0.008811166075949603,0.004627594120963304,-0.004183571954986299,-0.7777777777777778,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712679216852795,0.47729696395527627,0.006029042269996787,0.059027777777777776,trivial,199.0,0.0844048261642456,1.0,NS
QS,CT,24,0.40035061537245314,0.3952547055629241,-0.0050959098095290645,-0.11458333333333333,trivial,110.0,0.8738753199577332,1.0,NS
QCB,CT,24,0.7965497021856812,0.8113260505610107,0.014776348375329484,0.14930555555555555,small,288.0,4.172325134277344e-06,8.761882781982422e-05,SIG
QCV,CT,24,578.465495683921,758.8742454949969,180.40874981107595,-0.8055555555555556,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258746160622987,0.9146761158251993,-0.011198500237099451,-0.2847222222222222,small,11.0,0.9999974370002747,1.0,NS
QMI,CT,24,0.7776905304685849,0.7829708628136118,0.005280332345026895,0.125,trivial,179.0,0.2111707329750061,1.0,NS
QSF,CT,24,0.05131620141211348,0.048792024291427434,-0.002524177120686047,0.052083333333333336,trivial,155.0,0.449785053730011,1.0,NS
QNCIE,CT,24,0.8071417624089245,0.8072961558767352,0.000154393467810654,0.13541666666666666,trivial,222.0,0.019740819931030273,0.3750755786895752,MARGINAL
