metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.638179193313583,4.548173954669871,-0.09000523864371157,-0.20833333333333334,small,0.0,1.0,1.0,NS
VAR,CT,24,70.50553488421379,70.11447271514258,-0.39106216907120483,-0.09375,trivial,78.0,0.981675386428833,1.0,NS
AG,CT,24,9.616324628061891,9.898233916457594,0.2819092883957026,0.1423611111111111,trivial,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,CT,24,40.31732801271776,42.07435922020981,1.757031207492048,0.2708333333333333,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,CT,24,96.01678004761503,98.41634770113511,2.39956765352008,0.14583333333333334,trivial,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,CT,24,53.676019032796226,51.91980298360189,-1.756216049194336,-0.2222222222222222,small,3.0,0.9999998211860657,1.0,NS
NCIE,CT,24,0.8072961558767352,0.8073040490388212,7.893162086047845e-06,0.010416666666666666,trivial,163.0,0.36287039518356323,1.0,NS
MI_mutual,CT,24,2.1541299738168544,2.1607243230891107,0.006594349272256217,0.04513888888888889,trivial,175.0,0.24539929628372192,1.0,NS
NABF,CT,24,0.0323153793694205,0.03555964259911989,0.0032442632296993887,-0.3333333333333333,medium,10.0,0.9999980330467224,1.0,NS
FMI,CT,24,0.6732552032176401,0.6720310393461247,-0.0012241638715153602,-0.034722222222222224,trivial,105.0,0.9013108015060425,1.0,NS
CE,CT,24,1.5406950603516376,1.284845118542547,-0.2558499418090907,0.7291666666666666,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SSIM,CT,24,1.4434062128957887,1.4100563523861347,-0.03334986050965405,-0.3402777777777778,medium,0.0,1.0,1.0,NS
PSNR,CT,24,14.397297737770316,14.119952420344342,-0.2773453174259739,-0.3402777777777778,medium,0.0,1.0,1.0,NS
RMSE,CT,24,49.00550184484638,50.541359178145456,1.5358573332990773,-0.3263888888888889,small,0.0,1.0,1.0,NS
QG,CT,24,0.6182603271079632,0.6453840001791357,0.02712367307117247,0.3958333333333333,medium,299.0,1.1920928955078125e-07,2.2649765014648438e-06,SIG
QM,CT,24,0.004627594120963304,0.014800048699880372,0.010172454578917068,0.9375,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QC,CT,24,0.47729696395527627,0.48910290425809916,0.011805940302822893,0.13194444444444445,trivial,284.0,1.0073184967041016e-05,0.00018131732940673828,SIG
QS,CT,24,0.3952547055629241,0.3946981559455656,-0.0005565496173584594,-0.041666666666666664,trivial,145.0,0.5612964630126953,1.0,NS
QCB,CT,24,0.8113260505610107,0.813005567332242,0.0016795167712313486,0.0,trivial,170.0,0.2919030785560608,1.0,NS
QCV,CT,24,758.8742454949969,820.0660491943216,61.19180369932474,-0.3993055555555556,medium,0.0,1.0,1.0,NS
QY,CT,24,0.9146761158251993,0.9151081663201147,0.0004320504949154591,0.017361111111111112,trivial,164.0,0.352378249168396,1.0,NS
QMI,CT,24,0.7829708628136118,0.7943436781574332,0.011372815343821396,0.07291666666666667,trivial,233.0,0.008203327655792236,0.13945657014846802,MARGINAL
QSF,CT,24,0.048792024291427434,0.0870521075063712,0.038260083214943764,0.7152777777777778,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QNCIE,CT,24,0.8072961558767352,0.8073040490388212,7.893162086047845e-06,0.010416666666666666,trivial,163.0,0.36287039518356323,1.0,NS
QTE,CT,24,-8.54468653147251,-8.523749929965298,0.020936601507210995,0.024305555555555556,trivial,167.0,0.32157111167907715,1.0,NS
EN,PET,24,5.5110763507938,5.371976800914804,-0.13909954987899642,-0.1388888888888889,trivial,0.0,1.0,1.0,NS
VAR,PET,24,77.51346692219121,78.55314602487552,1.0396791026843033,0.1909722222222222,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
AG,PET,24,11.27742048898664,11.922067730788319,0.6446472418016782,0.23958333333333334,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,PET,24,34.47140044686623,35.77873818456496,1.307337737698731,0.2673611111111111,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,PET,24,114.69940988173774,121.14000841482653,6.440598533088789,0.28125,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,PET,24,68.33060010274251,68.77422014872234,0.4436200459798272,0.05555555555555555,trivial,292.0,1.4901161193847656e-06,2.9802322387695312e-05,SIG
NCIE,PET,24,0.8117213723721894,0.8115557709916467,-0.00016560138054277918,-0.09722222222222222,trivial,97.0,0.9359864592552185,1.0,NS
MI_mutual,PET,24,2.653132647066471,2.6350598026890406,-0.018072844377430286,-0.09722222222222222,trivial,110.0,0.8738753199577332,1.0,NS
NABF,PET,24,0.015342937496613097,0.02758350997988705,0.012240572483273952,-0.8645833333333334,large,0.0,1.0,1.0,NS
FMI,PET,24,0.6372248144073854,0.626609100493942,-0.010615713913443403,-0.18055555555555555,small,3.0,0.9999998211860657,1.0,NS
CE,PET,24,1.1542648469858443,1.1748740160288043,0.02060916904295995,-0.09375,trivial,71.0,0.9894364476203918,1.0,NS
SSIM,PET,24,1.3234846388289265,1.2924317246485022,-0.03105291418042433,-0.20833333333333334,small,0.0,1.0,1.0,NS
PSNR,PET,24,17.533084310614445,16.694435734165847,-0.8386485764485982,-0.6736111111111112,large,0.0,1.0,1.0,NS
RMSE,PET,24,49.689900109468375,51.38318335908712,1.6932832496187444,-0.2743055555555556,small,0.0,1.0,1.0,NS
QG,PET,24,0.7638182755455784,0.7641132880397462,0.0002950124941678567,-0.006944444444444444,trivial,158.0,0.4166867136955261,1.0,NS
QM,PET,24,0.12295579980032334,0.231849815617771,0.10889401581744765,0.9756944444444444,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QC,PET,24,0.6576610706289047,0.6334811756578006,-0.024179894971104066,-0.3125,small,0.0,1.0,1.0,NS
QS,PET,24,0.5459190898291711,0.5476446419315749,0.0017255521024037712,0.027777777777777776,trivial,213.0,0.03689628839492798,0.7010294795036316,MARGINAL
QCB,PET,24,0.8961937054143884,0.8960154549238063,-0.00017825049058206588,-0.017361111111111112,trivial,93.0,0.9494518041610718,1.0,NS
QCV,PET,24,82.73074705564288,100.026406757376,17.295659701733115,-0.3402777777777778,medium,0.0,1.0,1.0,NS
QY,PET,24,0.9817079745017168,0.9482472874733574,-0.03346068702835936,-0.9131944444444444,large,0.0,1.0,1.0,NS
QMI,PET,24,0.802025031608844,0.8093855715842254,0.0073605399753814416,0.013888888888888888,trivial,185.0,0.16525256633758545,1.0,NS
QSF,PET,24,0.05460496534826605,0.021892505497036235,-0.03271245985122982,-0.9826388888888888,large,0.0,1.0,1.0,NS
QNCIE,PET,24,0.8117213723721894,0.8115557709916468,-0.00016560138054266815,-0.09722222222222222,trivial,97.0,0.9359864592552185,1.0,NS
QTE,PET,24,-5.603586710827403,-5.774399131633204,-0.1708124208058006,-0.15625,small,12.0,0.9999967217445374,1.0,NS
EN,SPECT,24,4.9694854325446345,4.841454664732383,-0.12803076781225187,-0.125,trivial,0.0,1.0,1.0,NS
VAR,SPECT,24,53.82356443673177,53.39139296807296,-0.43217146865881517,-0.04513888888888889,trivial,39.0,0.9996288418769836,1.0,NS
AG,SPECT,24,6.791689436305517,6.847924815118763,0.056235378813245696,0.05555555555555555,trivial,234.0,0.007522463798522949,0.14292681217193604,MARGINAL
SF,SPECT,24,21.844904170789647,21.849192579325734,0.0042884085360874735,0.006944444444444444,trivial,160.0,0.39491891860961914,1.0,NS
EI,SPECT,24,68.49782652275861,68.91760926852862,0.4197827457700072,0.041666666666666664,trivial,217.0,0.028213322162628174,0.47962647676467896,MARGINAL
MI,SPECT,24,40.49820073445638,40.139122009277344,-0.3590787251790388,-0.0625,trivial,38.0,0.9996750950813293,1.0,NS
NCIE,SPECT,24,0.8107355911445469,0.8108799413224178,0.0001443501778709555,0.06944444444444445,trivial,215.0,0.03232467174530029,0.5171947479248047,MARGINAL
MI_mutual,SPECT,24,2.7151318230995947,2.722821900175768,0.007690077076173196,0.034722222222222224,trivial,185.0,0.16525256633758545,1.0,NS
NABF,SPECT,24,0.019417466380656282,0.020155534513308166,0.000738068132651884,-0.05555555555555555,trivial,104.0,0.9062493443489075,1.0,NS
FMI,SPECT,24,0.6531592798096256,0.6564886987439467,0.003329418934321038,0.03125,trivial,232.0,0.008935153484344482,0.16083276271820068,MARGINAL
CE,SPECT,24,1.0418732639675399,0.9907303534947373,-0.051142910472802616,0.11805555555555555,trivial,281.0,1.8298625946044922e-05,0.0004208683967590332,SIG
SSIM,SPECT,24,1.4031348899114715,1.3946107530551097,-0.008524136856361775,-0.06944444444444445,trivial,0.0,1.0,1.0,NS
PSNR,SPECT,24,21.399711170697838,21.202535616654252,-0.19717555404358578,-0.13541666666666666,trivial,13.0,0.9999958276748657,1.0,NS
RMSE,SPECT,24,28.74452615630028,28.800746999140898,0.05622084284061657,-0.017361111111111112,trivial,108.0,0.8854051828384399,1.0,NS
QG,SPECT,24,0.7502741290343232,0.751401063619603,0.001126934585279793,0.052083333333333336,trivial,255.0,0.0008897781372070312,0.018685340881347656,SIG
QM,SPECT,24,0.07880788309894088,0.09091982366701439,0.012111940568073506,0.14583333333333334,trivial,276.0,4.5418739318847656e-05,0.0009992122650146484,SIG
QC,SPECT,24,0.6404756745199341,0.639543120448113,-0.0009325540718211345,0.010416666666666666,trivial,161.0,0.38414818048477173,1.0,NS
QS,SPECT,24,0.5406132977441865,0.5461296296102969,0.0055163318661103355,0.04513888888888889,trivial,292.0,1.4901161193847656e-06,3.725290298461914e-05,SIG
