metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686797749583205,4.548173954669871,-0.13862379491333332,-0.3159722222222222,small,0.0,1.0,1.0,NS
VAR,CT,24,80.77078646485059,70.11447271514258,-10.656313749708005,-0.9201388888888888,large,0.0,1.0,1.0,NS
AG,CT,24,8.755430774745948,9.898233916457594,1.1428031417116458,0.4444444444444444,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,CT,24,36.53799267093689,42.07435922020981,5.53636654927292,0.6631944444444444,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,CT,24,88.0515270392708,98.41634770113511,10.364820661864314,0.4444444444444444,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,CT,24,65.71292114257812,51.91980298360189,-13.793118158976235,-0.9305555555555556,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071417624089247,0.8073040490388212,0.00016228662989659082,0.16319444444444445,small,210.0,0.04468661546707153,0.670299232006073,MARGINAL
MI_mutual,CT,24,2.14508450507375,2.1607243230891107,0.015639818015360518,0.1527777777777778,small,179.0,0.2111707329750061,1.0,NS
NABF,CT,24,0.019666141240353974,0.03555964259911989,0.015893501358765914,-0.8923611111111112,large,0.0,1.0,1.0,NS
FMI,CT,24,0.6710997311464278,0.6720310393461247,0.0009313081996968897,0.03125,trivial,189.0,0.13840770721435547,1.0,NS
CE,CT,24,1.5800952339050498,1.284845118542547,-0.2952501153625029,0.6527777777777778,large,299.0,1.1920928955078125e-07,2.6226043701171875e-06,SIG
SSIM,CT,24,1.4798800462702637,1.4100563523861347,-0.06982369388412901,-0.6423611111111112,large,0.0,1.0,1.0,NS
PSNR,CT,24,14.405257576702025,14.119952420344342,-0.2853051563576834,-0.2916666666666667,small,7.0,0.9999991655349731,1.0,NS
RMSE,CT,24,50.15341487566516,50.541359178145456,0.38794430248029244,-0.11805555555555555,trivial,72.0,0.9885339736938477,1.0,NS
QG,CT,24,0.6140704301416217,0.6453840001791357,0.031313570037514005,0.3472222222222222,medium,296.0,4.172325134277344e-07,8.761882781982422e-06,SIG
QM,CT,24,0.008811166075949603,0.014800048699880372,0.005988882623930769,0.5173611111111112,large,287.0,5.245208740234375e-06,0.0001049041748046875,SIG
QC,CT,24,0.4712679216852795,0.48910290425809916,0.01783498257281968,0.17708333333333334,small,225.0,0.015740811824798584,0.25185298919677734,MARGINAL
QS,CT,24,0.40035061537245314,0.3946981559455656,-0.005652459426887524,-0.11805555555555555,trivial,107.0,0.8908905386924744,1.0,NS
QCB,CT,24,0.7965497021856812,0.813005567332242,0.016455865146560833,0.1527777777777778,small,283.0,1.233816146850586e-05,0.00023442506790161133,SIG
QCV,CT,24,578.465495683921,820.0660491943216,241.6005535104007,-0.8402777777777778,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258746160622987,0.9151081663201147,-0.010766449742183992,-0.25,small,24.0,0.9999618530273438,1.0,NS
QMI,CT,24,0.7776905304685849,0.7943436781574332,0.01665314768884829,0.1909722222222222,small,230.0,0.010563552379608154,0.17958039045333862,MARGINAL
QSF,CT,24,0.05131620141211348,0.0870521075063712,0.03573590609425772,0.7326388888888888,large,273.0,7.480382919311523e-05,0.0013464689254760742,SIG
QNCIE,CT,24,0.8071417624089245,0.8073040490388212,0.00016228662989670184,0.16319444444444445,small,210.0,0.04468661546707153,0.670299232006073,MARGINAL
QTE,CT,24,-8.580386610573504,-8.523749929965298,0.05663668060820548,0.034722222222222224,trivial,164.0,0.352378249168396,1.0,NS
EN,PET,24,5.615156978998519,5.371976800914804,-0.2431801780837155,-0.2152777777777778,small,0.0,1.0,1.0,NS
VAR,PET,24,89.52869657843478,78.55314602487552,-10.975550553559259,-0.9861111111111112,large,0.0,1.0,1.0,NS
